Q1   degrees/h:
   13.39866    
Year M D h m s  V0+u(deg)     f
2149 1 1 0 0 0   16.016  0.   0.9144
2150 1 1 0 0 0   28.953  0.   0.9783
2151 1 1 0 0 0   40.593  0.   1.0410
2152 1 1 0 0 0   51.284  0.   1.0960
2153 1 1 0 0 0   22.904  0.   1.1394
2154 1 1 0 0 0   32.548  0.   1.1684
2155 1 1 0 0 0   41.994  0.   1.1821
2156 1 1 0 0 0   51.375  0.   1.1800
2157 1 1 0 0 0   22.410  0.   1.1621
2158 1 1 0 0 0   32.153  0.   1.1291
2159 1 1 0 0 0   42.342  0.   1.0825
2160 1 1 0 0 0   53.264  0.   1.0250
2161 1 1 0 0 0   26.783  0.   0.9610
2162 1 1 0 0 0   40.114  0.   0.8981
2163 1 1 0 0 0   55.004  0.   0.8453
2164 1 1 0 0 0   71.310  0.   0.8127
2165 1 1 0 0 0   49.890  0.   0.8075
2166 1 1 0 0 0   66.547  0.   0.8312
2167 1 1 0 0 0   81.969  0.   0.8781
2168 1 1 0 0 0   95.835  0.   0.9387
2169 1 1 0 0 0   69.784  0.   1.0032
2170 1 1 0 0 0   81.028  0.   1.0636
2171 1 1 0 0 0   91.434  0.   1.1144
2172 1 1 0 0 0  101.311  0.   1.1523
2173 1 1 0 0 0   72.415  0.   1.1756
2174 1 1 0 0 0   81.824  0.   1.1832
2175 1 1 0 0 0   91.223  0.   1.1749
2176 1 1 0 0 0  100.786  0.   1.1511
2177 1 1 0 0 0   72.231  0.   1.1125
2178 1 1 0 0 0   82.677  0.   1.0613
2179 1 1 0 0 0   93.949  0.   1.0006
2180 1 1 0 0 0  106.404  0.   0.9362
2181 1 1 0 0 0   81.895  0.   0.8759
2182 1 1 0 0 0   97.388  0.   0.8298
2183 1 1 0 0 0  114.069  0.   0.8072
2184 1 1 0 0 0  131.069  0.   0.8134
2185 1 1 0 0 0  108.901  0.   0.8472
2186 1 1 0 0 0  123.737  0.   0.9006
2187 1 1 0 0 0  136.995  0.   0.9637
2188 1 1 0 0 0  148.910  0.   1.0273
2189 1 1 0 0 0  121.351  0.   1.0846
2190 1 1 0 0 0  131.517  0.   1.1308
2191 1 1 0 0 0  141.246  0.   1.1631
2192 1 1 0 0 0  150.713  0.   1.1804
2193 1 1 0 0 0  121.666  0.   1.1818
2194 1 1 0 0 0  131.094  0.   1.1675
2195 1 1 0 0 0  140.762  0.   1.1379
2196 1 1 0 0 0  150.840  0.   1.0941
2197 1 1 0 0 0  123.126  0.   1.0386
2198 1 1 0 0 0  134.812  0.   0.9757
2199 1 1 0 0 0  147.809  0.   0.9119
