2N2  degrees/h:
   27.89536    
Year M D h m s  V0+u(deg)     f
2154 1 1 0 0 0  138.122  0.   0.9670
2155 1 1 0 0 0   62.136  0.   0.9635
2156 1 1 0 0 0  346.164  0.   0.9640
2157 1 1 0 0 0  219.632  0.   0.9686
2158 1 1 0 0 0  143.493  0.   0.9768
2159 1 1 0 0 0   67.145  0.   0.9876
2160 1 1 0 0 0  350.582  0.   0.9999
2161 1 1 0 0 0  223.253  0.   1.0123
2162 1 1 0 0 0  146.219  0.   1.0234
2163 1 1 0 0 0   68.985  0.   1.0319
2164 1 1 0 0 0  351.637  0.   1.0368
2165 1 1 0 0 0  223.709  0.   1.0376
2166 1 1 0 0 0  146.335  0.   1.0340
2167 1 1 0 0 0   69.047  0.   1.0267
2168 1 1 0 0 0  351.943  0.   1.0164
2169 1 1 0 0 0  224.516  0.   1.0042
2170 1 1 0 0 0  147.868  0.   0.9917
2171 1 1 0 0 0   71.443  0.   0.9803
2172 1 1 0 0 0  355.244  0.   0.9711
2173 1 1 0 0 0  228.674  0.   0.9652
2174 1 1 0 0 0  152.711  0.   0.9632
2175 1 1 0 0 0   76.728  0.   0.9653
2176 1 1 0 0 0    0.676  0.   0.9714
2177 1 1 0 0 0  233.946  0.   0.9807
2178 1 1 0 0 0  157.527  0.   0.9922
2179 1 1 0 0 0   80.854  0.   1.0047
2180 1 1 0 0 0    3.959  0.   1.0168
2181 1 1 0 0 0  236.322  0.   1.0271
2182 1 1 0 0 0  159.043  0.   1.0343
2183 1 1 0 0 0   81.652  0.   1.0376
2184 1 1 0 0 0    4.250  0.   1.0367
2185 1 1 0 0 0  236.383  0.   1.0316
2186 1 1 0 0 0  159.169  0.   1.0230
2187 1 1 0 0 0   82.129  0.   1.0118
2188 1 1 0 0 0    5.334  0.   0.9994
2189 1 1 0 0 0  238.256  0.   0.9871
2190 1 1 0 0 0  161.917  0.   0.9764
2191 1 1 0 0 0   85.785  0.   0.9683
2192 1 1 0 0 0    9.763  0.   0.9639
2193 1 1 0 0 0  243.300  0.   0.9635
2194 1 1 0 0 0  167.280  0.   0.9672
2195 1 1 0 0 0   91.176  0.   0.9746
2196 1 1 0 0 0   14.893  0.   0.9849
2197 1 1 0 0 0  247.860  0.   0.9970
2198 1 1 0 0 0  171.092  0.   1.0095
2199 1 1 0 0 0   94.110  0.   1.0211
