J1   degrees/h:
   15.58544    
Year M D h m s  V0+u(deg)     f
2148 1 1 0 0 0   64.498  0.   0.8764
2149 1 1 0 0 0  164.331  0.   0.9297
2150 1 1 0 0 0  251.859  0.   0.9887
2151 1 1 0 0 0  340.911  0.   1.0449
2152 1 1 0 0 0   71.155  0.   1.0927
2153 1 1 0 0 0  176.321  0.   1.1293
2154 1 1 0 0 0  268.012  0.   1.1532
2155 1 1 0 0 0    0.019  0.   1.1643
2156 1 1 0 0 0   92.116  0.   1.1626
2157 1 1 0 0 0  198.126  0.   1.1481
2158 1 1 0 0 0  289.684  0.   1.1208
2159 1 1 0 0 0   20.596  0.   1.0811
2160 1 1 0 0 0  110.553  0.   1.0306
2161 1 1 0 0 0  213.281  0.   0.9729
2162 1 1 0 0 0  300.358  0.   0.9145
2163 1 1 0 0 0   25.681  0.   0.8646
2164 1 1 0 0 0  109.467  0.   0.8332
2165 1 1 0 0 0  206.537  0.   0.8283
2166 1 1 0 0 0  289.946  0.   0.8511
2167 1 1 0 0 0   14.685  0.   0.8957
2168 1 1 0 0 0  101.156  0.   0.9523
2169 1 1 0 0 0  203.364  0.   1.0112
2170 1 1 0 0 0  292.915  0.   1.0647
2171 1 1 0 0 0   23.532  0.   1.1083
2172 1 1 0 0 0  114.896  0.   1.1400
2173 1 1 0 0 0  220.800  0.   1.1590
2174 1 1 0 0 0  312.867  0.   1.1651
2175 1 1 0 0 0   44.935  0.   1.1585
2176 1 1 0 0 0  136.761  0.   1.1390
2177 1 1 0 0 0  242.162  0.   1.1068
2178 1 1 0 0 0  332.739  0.   1.0626
2179 1 1 0 0 0   62.243  0.   1.0088
2180 1 1 0 0 0  150.333  0.   0.9500
2181 1 1 0 0 0  250.782  0.   0.8936
2182 1 1 0 0 0  335.452  0.   0.8497
2183 1 1 0 0 0   58.827  0.   0.8279
2184 1 1 0 0 0  141.867  0.   0.8340
2185 1 1 0 0 0  239.742  0.   0.8663
2186 1 1 0 0 0  325.133  0.   0.9168
2187 1 1 0 0 0   52.284  0.   0.9753
2188 1 1 0 0 0  141.014  0.   1.0327
2189 1 1 0 0 0  245.073  0.   1.0829
