NU2  degrees/h:
   28.51258    
Year M D h m s  V0+u(deg)     f
2157 1 1 0 0 0  260.388  0.   0.9686
2158 1 1 0 0 0  191.165  0.   0.9768
2159 1 1 0 0 0  121.740  0.   0.9876
2160 1 1 0 0 0   52.096  0.   0.9999
2161 1 1 0 0 0  306.500  0.   1.0123
2162 1 1 0 0 0  236.386  0.   1.0234
2163 1 1 0 0 0  166.072  0.   1.0319
2164 1 1 0 0 0   95.642  0.   1.0368
2165 1 1 0 0 0  349.450  0.   1.0376
2166 1 1 0 0 0  278.992  0.   1.0340
2167 1 1 0 0 0  208.627  0.   1.0267
2168 1 1 0 0 0  138.442  0.   1.0164
2169 1 1 0 0 0   32.752  0.   1.0042
2170 1 1 0 0 0  323.024  0.   0.9917
2171 1 1 0 0 0  253.522  0.   0.9803
2172 1 1 0 0 0  184.239  0.   0.9711
2173 1 1 0 0 0   79.405  0.   0.9652
2174 1 1 0 0 0   10.357  0.   0.9632
2175 1 1 0 0 0  301.297  0.   0.9653
2176 1 1 0 0 0  232.165  0.   0.9714
2177 1 1 0 0 0  127.168  0.   0.9807
2178 1 1 0 0 0   57.668  0.   0.9922
2179 1 1 0 0 0  347.918  0.   1.0047
2180 1 1 0 0 0  277.939  0.   1.0168
2181 1 1 0 0 0  172.037  0.   1.0271
2182 1 1 0 0 0  101.678  0.   1.0343
2183 1 1 0 0 0   31.207  0.   1.0376
2184 1 1 0 0 0  320.724  0.   1.0367
2185 1 1 0 0 0  214.588  0.   1.0316
2186 1 1 0 0 0  144.292  0.   1.0230
2187 1 1 0 0 0   74.175  0.   1.0118
2188 1 1 0 0 0    4.296  0.   0.9994
2189 1 1 0 0 0  258.955  0.   0.9871
2190 1 1 0 0 0  189.538  0.   0.9764
2191 1 1 0 0 0  120.323  0.   0.9683
2192 1 1 0 0 0   51.224  0.   0.9639
2193 1 1 0 0 0  306.493  0.   0.9635
2194 1 1 0 0 0  237.397  0.   0.9672
2195 1 1 0 0 0  168.211  0.   0.9746
2196 1 1 0 0 0   98.844  0.   0.9849
2197 1 1 0 0 0  353.547  0.   0.9970
2198 1 1 0 0 0  283.703  0.   1.0095
2199 1 1 0 0 0  213.636  0.   1.0211
