RHO1 degrees/h:
   13.47151    
Year M D h m s  V0+u(deg)     f
2126 1 1 0 0 0  169.932  0.   0.8358
2127 1 1 0 0 0  104.671  0.   0.8089
2128 1 1 0 0 0   39.887  0.   0.8104
2129 1 1 0 0 0  297.849  0.   0.8401
2130 1 1 0 0 0  231.130  0.   0.8910
2131 1 1 0 0 0  162.836  0.   0.9532
2132 1 1 0 0 0   93.140  0.   1.0173
2133 1 1 0 0 0  345.675  0.   1.0761
2134 1 1 0 0 0  274.141  0.   1.1242
2135 1 1 0 0 0  202.119  0.   1.1589
2136 1 1 0 0 0  129.817  0.   1.1786
2137 1 1 0 0 0   20.710  0.   1.1827
2138 1 1 0 0 0  308.334  0.   1.1709
2139 1 1 0 0 0  236.146  0.   1.1437
2140 1 1 0 0 0  164.328  0.   1.1021
2141 1 1 0 0 0   56.441  0.   1.0482
2142 1 1 0 0 0  346.153  0.   0.9861
2143 1 1 0 0 0  277.110  0.   0.9219
2144 1 1 0 0 0  209.587  0.   0.8640
2145 1 1 0 0 0  106.917  0.   0.8223
2146 1 1 0 0 0   41.969  0.   0.8060
2147 1 1 0 0 0  337.074  0.   0.8188
2148 1 1 0 0 0  271.252  0.   0.8577
2149 1 1 0 0 0  167.242  0.   0.9144
2150 1 1 0 0 0   98.376  0.   0.9783
2151 1 1 0 0 0   28.214  0.   1.0410
2152 1 1 0 0 0  317.101  0.   1.0960
2153 1 1 0 0 0  208.668  0.   1.1394
2154 1 1 0 0 0  136.510  0.   1.1684
2155 1 1 0 0 0   64.153  0.   1.1821
2156 1 1 0 0 0  351.732  0.   1.1800
2157 1 1 0 0 0  242.714  0.   1.1621
2158 1 1 0 0 0  170.653  0.   1.1291
2159 1 1 0 0 0   99.041  0.   1.0825
2160 1 1 0 0 0   28.161  0.   1.0250
2161 1 1 0 0 0  281.625  0.   0.9610
2162 1 1 0 0 0  213.154  0.   0.8981
2163 1 1 0 0 0  146.240  0.   0.8453
2164 1 1 0 0 0   80.745  0.   0.8127
2165 1 1 0 0 0  339.272  0.   0.8075
2166 1 1 0 0 0  274.126  0.   0.8312
2167 1 1 0 0 0  207.746  0.   0.8781
2168 1 1 0 0 0  139.810  0.   0.9387
2169 1 1 0 0 0   33.704  0.   1.0032
2170 1 1 0 0 0  323.146  0.   1.0636
2171 1 1 0 0 0  251.751  0.   1.1144
2172 1 1 0 0 0  179.824  0.   1.1523
2173 1 1 0 0 0   70.876  0.   1.1756
2174 1 1 0 0 0  358.481  0.   1.1832
2175 1 1 0 0 0  286.078  0.   1.1749
2176 1 1 0 0 0  213.839  0.   1.1511
2177 1 1 0 0 0  105.229  0.   1.1125
2178 1 1 0 0 0   33.874  0.   1.0613
2179 1 1 0 0 0  323.344  0.   1.0006
2180 1 1 0 0 0  253.995  0.   0.9362
2181 1 1 0 0 0  149.433  0.   0.8759
2182 1 1 0 0 0   83.125  0.   0.8298
2183 1 1 0 0 0   18.002  0.   0.8072
2184 1 1 0 0 0  313.201  0.   0.8134
2185 1 1 0 0 0  210.975  0.   0.8472
2186 1 1 0 0 0  144.010  0.   0.9006
2187 1 1 0 0 0   75.466  0.   0.9637
