2Q1  degrees/h:
   12.85429    
Year M D h m s  V0+u(deg)     f
2123 1 1 0 0 0   18.719  0.   1.0108
2124 1 1 0 0 0  302.232  0.   0.9466
2125 1 1 0 0 0  175.683  0.   0.8849
2126 1 1 0 0 0  102.206  0.   0.8358
2127 1 1 0 0 0   30.024  0.   0.8089
2128 1 1 0 0 0  318.322  0.   0.8104
2129 1 1 0 0 0  194.550  0.   0.8401
2130 1 1 0 0 0  120.912  0.   0.8910
2131 1 1 0 0 0   45.698  0.   0.9532
2132 1 1 0 0 0  329.081  0.   1.0173
2133 1 1 0 0 0  199.888  0.   1.0761
2134 1 1 0 0 0  121.432  0.   1.1242
2135 1 1 0 0 0   42.489  0.   1.1589
2136 1 1 0 0 0  323.270  0.   1.1786
2137 1 1 0 0 0  192.426  0.   1.1827
2138 1 1 0 0 0  113.129  0.   1.1709
2139 1 1 0 0 0   34.024  0.   1.1437
2140 1 1 0 0 0  315.282  0.   1.1021
2141 1 1 0 0 0  185.664  0.   1.0482
2142 1 1 0 0 0  108.455  0.   0.9861
2143 1 1 0 0 0   32.491  0.   0.9219
2144 1 1 0 0 0  318.050  0.   0.8640
2145 1 1 0 0 0  193.644  0.   0.8223
2146 1 1 0 0 0  121.777  0.   0.8060
2147 1 1 0 0 0   49.962  0.   0.8188
2148 1 1 0 0 0  337.221  0.   0.8577
2149 1 1 0 0 0  211.475  0.   0.9144
2150 1 1 0 0 0  135.693  0.   0.9783
2151 1 1 0 0 0   58.608  0.   1.0410
2152 1 1 0 0 0  340.575  0.   1.0960
2153 1 1 0 0 0  210.410  0.   1.1394
2154 1 1 0 0 0  131.329  0.   1.1684
2155 1 1 0 0 0   52.056  0.   1.1821
2156 1 1 0 0 0  332.712  0.   1.1800
2157 1 1 0 0 0  201.958  0.   1.1621
2158 1 1 0 0 0  122.981  0.   1.1291
2159 1 1 0 0 0   44.446  0.   1.0825
2160 1 1 0 0 0  326.646  0.   1.0250
2161 1 1 0 0 0  198.378  0.   0.9610
2162 1 1 0 0 0  122.988  0.   0.8981
2163 1 1 0 0 0   49.154  0.   0.8453
2164 1 1 0 0 0  336.740  0.   0.8127
2165 1 1 0 0 0  213.530  0.   0.8075
2166 1 1 0 0 0  141.468  0.   0.8312
2167 1 1 0 0 0   68.165  0.   0.8781
2168 1 1 0 0 0  353.311  0.   0.9387
2169 1 1 0 0 0  225.468  0.   1.0032
2170 1 1 0 0 0  147.991  0.   1.0636
2171 1 1 0 0 0   69.673  0.   1.1144
2172 1 1 0 0 0  350.829  0.   1.1523
2173 1 1 0 0 0  220.145  0.   1.1756
2174 1 1 0 0 0  140.834  0.   1.1832
2175 1 1 0 0 0   61.508  0.   1.1749
2176 1 1 0 0 0  342.350  0.   1.1511
2177 1 1 0 0 0  212.007  0.   1.1125
2178 1 1 0 0 0  133.733  0.   1.0613
2179 1 1 0 0 0   56.280  0.   1.0006
2180 1 1 0 0 0  340.015  0.   0.9362
2181 1 1 0 0 0  213.717  0.   0.8759
2182 1 1 0 0 0  140.490  0.   0.8298
2183 1 1 0 0 0   68.447  0.   0.8072
2184 1 1 0 0 0  356.727  0.   0.8134
2185 1 1 0 0 0  232.771  0.   0.8472
2186 1 1 0 0 0  158.886  0.   0.9006
2187 1 1 0 0 0   83.420  0.   0.9637
2188 1 1 0 0 0    6.615  0.   1.0273
2189 1 1 0 0 0  237.267  0.   1.0846
2190 1 1 0 0 0  158.708  0.   1.1308
2191 1 1 0 0 0   79.717  0.   1.1631
2192 1 1 0 0 0    0.460  0.   1.1804
2193 1 1 0 0 0  229.628  0.   1.1818
2194 1 1 0 0 0  150.329  0.   1.1675
2195 1 1 0 0 0   71.276  0.   1.1379
2196 1 1 0 0 0  352.634  0.   1.0941
2197 1 1 0 0 0  223.131  0.   1.0386
2198 1 1 0 0 0  146.092  0.   0.9757
2199 1 1 0 0 0   70.369  0.   0.9119
