 P1 pulsation (degrees/h):
  14.9589313609999994
Year  M D h m s  V0(deg)   u(deg)    f:
2077  1 1 0 0 0  348.696    0.000    1.000 
2078  1 1 0 0 0  348.935    0.000    1.000 
2079  1 1 0 0 0  349.173    0.000    1.000 
2080  1 1 0 0 0  349.412    0.000    1.000 
2081  1 1 0 0 0  348.665    0.000    1.000 
2082  1 1 0 0 0  348.904    0.000    1.000 
2083  1 1 0 0 0  349.143    0.000    1.000 
2084  1 1 0 0 0  349.381    0.000    1.000 
2085  1 1 0 0 0  348.634    0.000    1.000 
2086  1 1 0 0 0  348.873    0.000    1.000 
2087  1 1 0 0 0  349.112    0.000    1.000 
2088  1 1 0 0 0  349.351    0.000    1.000 
2089  1 1 0 0 0  348.604    0.000    1.000 
2090  1 1 0 0 0  348.842    0.000    1.000 
2091  1 1 0 0 0  349.081    0.000    1.000 
2092  1 1 0 0 0  349.320    0.000    1.000 
2093  1 1 0 0 0  348.573    0.000    1.000 
2094  1 1 0 0 0  348.812    0.000    1.000 
2095  1 1 0 0 0  349.050    0.000    1.000 
2096  1 1 0 0 0  349.289    0.000    1.000 
2097  1 1 0 0 0  348.542    0.000    1.000 
2098  1 1 0 0 0  348.781    0.000    1.000 
2099  1 1 0 0 0  349.020    0.000    1.000 
2100  1 1 0 0 0  349.258    0.000    1.000 
